Year,State,Top10_adj,Top5_adj,Top1_adj,Top05_adj,Top01_adj,Top001_adj
1918,West Virginia,31.36,22.31,9.92,7.30,3.57,1.16
1918,Wisconsin,35.11,26.39,12.73,9.60,4.70,1.25
1918,Wyoming,35.02,26.03,13.24,9.40,3.88,0.88
1919,United States,40.32,30.17,16.41,12.64,6.63,2.29
1919,Alabama,31.85,26.44,13.44,9.77,4.57,1.21
1919,Arizona,32.60,22.08,10.08,7.11,3.11,0.86
1919,Arkansas,26.70,21.09,10.05,7.08,3.02,0.77
1919,California,41.13,29.92,15.39,11.28,5.15,1.45
1919,Colorado,36.90,26.22,12.37,8.99,4.31,1.30
1919,Connecticut,40.58,30.29,16.99,12.86,6.10,1.60
1919,Delaware,58.65,46.17,31.23,26.06,16.65,7.62
1919,District of Columbia,45.77,34.21,18.60,13.81,6.65,1.88
1919,Florida,41.47,33.42,15.97,11.67,5.33,1.69
1919,Georgia,36.75,31.52,15.59,11.47,5.32,1.46
1919,Idaho,24.98,17.02,6.57,4.34,1.66,0.42
1919,Illinois,43.02,31.29,16.44,12.47,6.26,2.05
1919,Indiana,33.65,23.99,10.97,7.98,3.69,1.05
1919,Iowa,26.02,17.16,6.79,4.52,1.75,0.41
1919,Kansas,30.67,22.06,9.24,6.49,2.90,0.90
1919,Kentucky,35.05,28.99,13.36,9.50,4.17,1.12
1919,Louisiana,38.36,31.69,17.84,13.65,6.80,2.03
1919,Maine,37.17,27.25,13.14,9.66,4.71,1.53
1919,Maryland,46.03,34.10,18.99,14.30,6.92,2.12
1919,Massachusetts,45.04,34.44,21.05,16.38,8.36,2.48
1919,Michigan,39.77,29.67,16.38,13.02,7.74,4.11
1919,Minnesota,33.30,23.63,11.95,8.87,4.55,1.43
1919,Mississippi,26.61,21.00,12.49,9.21,4.38,1.20
1919,Missouri,42.51,33.68,17.43,13.00,6.15,1.65
1919,Montana,30.31,19.42,8.05,5.62,2.47,0.79
1919,Nebraska,27.86,19.09,8.13,5.56,2.33,0.63
1919,Nevada,33.04,21.40,8.71,5.86,2.32,0.82
1919,New Hampshire,35.65,25.52,12.48,9.25,4.44,1.26
1919,New Jersey,42.88,31.20,17.13,13.06,6.58,2.09
1919,New Mexico,36.85,28.53,12.11,8.24,3.49,0.86
1919,New York,52.99,42.34,27.18,21.49,11.41,4.06
1919,North Carolina,31.21,25.77,14.33,10.69,5.43,1.99
1919,North Dakota,24.84,17.13,6.43,4.16,1.54,0.31
1919,Ohio,38.91,28.85,15.68,11.93,5.95,1.96
1919,Oklahoma,36.50,28.33,13.49,9.86,4.74,1.63
1919,Oregon,32.26,23.46,11.51,8.54,4.28,1.58
1919,Pennsylvania,39.27,29.46,17.13,13.46,7.27,2.56
1919,Rhode Island,40.84,31.57,19.24,15.16,8.07,2.53
1919,South Carolina,25.83,20.19,9.11,6.46,2.85,0.73
1919,South Dakota,21.85,14.16,5.27,3.42,1.23,0.26
1919,Tennessee,37.89,32.52,16.97,12.52,5.88,1.60
1919,Texas,38.98,29.24,14.77,10.87,5.19,1.65
1919,Utah,33.48,22.67,9.63,6.61,2.66,0.62
1919,Vermont,39.01,30.50,15.61,11.65,5.97,1.70
1919,Virginia,35.08,26.30,12.68,9.27,4.16,1.14
1919,Washington,32.77,23.14,10.70,7.64,3.50,1.13
1919,West Virginia,33.98,26.05,12.50,9.21,4.50,1.31
1919,Wisconsin,37.05,27.39,12.82,9.22,4.19,1.16
1919,Wyoming,24.64,17.02,7.80,5.49,2.27,0.56
1920,United States,39.01,28.32,14.83,11.14,5.36,1.66
1920,Alabama,32.98,27.25,12.32,8.94,4.12,1.12
1920,Arizona,31.20,20.27,8.48,5.80,2.48,0.50
1920,Arkansas,28.13,22.50,9.78,6.91,3.11,0.86
1920,California,37.23,26.71,13.06,9.36,3.94,0.96
1920,Colorado,34.82,24.32,11.42,8.20,3.78,1.22
1920,Connecticut,37.26,26.99,14.47,10.69,4.60,1.13
1920,Delaware,54.54,39.45,21.49,16.22,7.75,2.35
1920,District of Columbia,43.79,31.69,16.79,12.36,5.72,1.50
1920,Florida,43.49,31.90,15.67,11.36,5.04,1.48
1920,Georgia,38.23,32.08,15.15,11.16,5.35,1.46
1920,Idaho,25.06,15.77,5.86,3.84,1.45,0.32
1920,Illinois,41.32,30.88,16.34,12.07,5.53,1.62
1920,Indiana,31.91,21.29,9.94,7.23,3.27,0.84
1920,Iowa,24.79,17.18,7.32,4.81,1.68,0.35
1920,Kansas,30.81,21.45,9.32,6.52,2.75,0.66
1920,Kentucky,36.20,28.50,13.45,9.72,4.14,0.98
1920,Louisiana,39.92,29.74,14.53,10.74,4.94,1.33
1920,Maine,36.03,25.17,12.22,9.00,4.16,1.31
1920,Maryland,44.27,32.44,17.32,12.76,5.66,1.44
1920,Massachusetts,39.91,29.54,16.87,12.77,5.99,1.74
