Year,Sport,D1Teams,D1Athletes,D1AvgSquad,D2Teams,D2Athletes,D2AvgSquad,D3Teams,D3Athletes,D3AvgSquad,TotalNCAATeams,TotalNCAAAthletes,AvgNCAASquad
1986-1987,M_Wrestling,124,"3,766",30.4,46,"1,160",25.2,130,"3,279",25.2,300,"8,205",27.4
1987-1988,M_Wrestling,121,"3,597",29.7,41,999,24.4,127,"2,435",19.2,289,"7,031",24.3
1988-1989,M_Wrestling,117,"3,428",29.3,43,"1,084",25.2,126,"2,457",19.5,286,"6,969",24.4
1989-1990,M_Wrestling,112,"3,278",29.3,44,"1,085",24.7,122,"2,374",19.5,278,"6,737",24.2
1990-1991,M_Wrestling,111,"3,343",30.1,49,"1,317",26.9,120,"2,432",20.3,280,"7,092",25.3
1991-1992,M_Wrestling,110,"3,287",29.9,48,"1,248",26,117,"2,284",19.5,275,"6,819",24.8
1992-1993,M_Wrestling,108,"3,251",30.1,44,"1,135",25.8,113,"2,192",19.4,265,"6,578",24.8
1993-1994,M_Wrestling,107,"3,124",29.2,49,"1,303",26.6,108,"2,041",18.9,264,"6,468",24.5
1994-1995,M_Wrestling,104,"3,151",30.3,46,"1,118",24.3,107,"2,076",19.4,257,"6,345",24.7
1995-1996,M_Wrestling,106,"3,095",29.2,52,"1,373",26.4,119,"2,404",20.2,277,"6,872",24.8
1996-1997,M_Wrestling,97,"2,997",30.9,44,"1,223",27.8,107,"2,290",21.4,248,"6,510",26.3
1997-1998,M_Wrestling,96,"2,870",29.9,44,"1,250",28.4,106,"2,332",22,246,"6,452",26.2
1998-1999,M_Wrestling,94,"2,782",29.6,43,"1,187",27.6,105,"2,352",22.4,242,"6,321",26.1
1999-2000,M_Wrestling,90,"2,709",30.1,40,"1,168",29.2,104,"2,402",23.1,234,"6,279",26.8
2000-2001,M_Wrestling,90,"2,754",30.6,41,"1,177",28.7,104,"2,309",22.2,235,"6,240",26.6
2001-2002,M_Wrestling,87,"2,470",28.4,43,"1,089",25.3,101,"2,384",23.6,231,"5,943",25.7
2002-2003,M_Wrestling,85,"2,473",29.1,38,"1,176",30.9,99,"2,337",23.6,222,"5,986",27
2003-2004,M_Wrestling,86,"2,557",29.7,39,"1,070",27.4,98,"2,316",23.6,223,"5,943",26.7
2004-2005,M_Wrestling,86,"2,594",30.2,39,"1,049",26.9,99,"2,296",23.2,224,"5,939",26.5
2005-2006,M_Wrestling,87,"2,563",29.5,44,"1,234",28.1,97,"2,342",24.1,228,"6,139",26.9
2006-2007,M_Wrestling,88,"2,615",29.7,46,"1,225",26.6,95,"2,387",25.1,229,"6,227",27.2
2007-2008,M_Wrestling,89,"2,648",29.8,46,"1,318",28.7,92,"2,344",25.5,227,"6,310",27.8
2008-2009,M_Wrestling,86,"2,668",31,46,"1,409",30.6,92,"2,445",26.6,224,"6,522",29.1
2009-2010,M_Wrestling,82,"2,567",31.3,47,"1,454",30.9,88,"2,376",27,217,"6,397",29.5
2010-2011,M_Wrestling,80,"2,565",32.1,56,"1,780",31.8,88,"2,391",27.2,224,"6,736",30.1
2011-2012,M_Wrestling,77,"2,438",31.7,55,"1,752",31.9,87,"2,432",28,219,"6,622",30.2
2012-2013,M_Wrestling,77,"2,506",32.5,55,"1,792",32.6,88,"2,533",28.8,220,"6,831",31.1
2013-2014,M_Wrestling,77,"2,544",33,58,"1,856",32,91,"2,582",28.4,226,"6,982",30.9
2014-2015,M_Wrestling,76,"2,520",33.2,59,"1,912",32.4,94,"2,617",27.8,229,"7,049",30.8
2015-2016,M_Wrestling,76,"2,501",32.9,60,"1,946",32.4,96,"2,628",27.4,232,"7,075",30.5
2016-2017,M_Wrestling,76,"2,500",32.9,61,"1,916",31.4,101,"2,759",27.3,238,"7,175",30.1
2017-2018,M_Wrestling,76,"2,451",32.3,60,"1,899",31.7,105,"2,889",27.5,241,"7,239",30
2018-2019,M_Wrestling,75,"2,479",33.1,62,"1,884",30.4,108,"2,937",27.2,245,"7,300",29.8
2019-2020,M_Wrestling,78,"2,548",32.7,64,"2,001",31.3,108,"3,124",28.9,250,"7,673",30.7
2020-2021,M_Wrestling,77,"2,496",32.4,65,"2,009",30.9,111,"2,931",26.4,253,"7,436",29.4
2021-2022,M_Wrestling,76,"2,665",35.1,67,"2,243",33.5,116,"3,430",29.6,259,"8,338",32.2
2022-2023,M_Wrestling,77,2672,34.7,69,2205,32,121,3432,28.4,267,"8,309",31.1
1981-1982,W_Badminton,7,93,13.3,1,14,14,3,34,11.3,11,141,12.8
1998-1999,W_Badminton,4,35,8.8,0,N/A,N/A,6,59,9.8,10,94,9.4
1999-2000,W_Badminton,0,N/A,N/A,0,N/A,N/A,3,34,11.3,3,34,11.3
2000-2001,W_Badminton,0,N/A,N/A,0,N/A,N/A,3,33,11,3,33,11
2001-2002,W_Badminton,0,N/A,N/A,0,N/A,N/A,4,34,8.5,4,34,8.5
2002-2003,W_Badminton,0,N/A,N/A,0,N/A,N/A,4,29,7.3,4,29,7.3
2003-2004,W_Badminton,0,N/A,N/A,0,N/A,N/A,3,33,11,3,33,11
2004-2005,W_Badminton,0,N/A,N/A,0,N/A,N/A,3,23,7.7,3,23,7.7
2005-2006,W_Badminton,0,N/A,N/A,0,N/A,N/A,3,30,10,3,30,10
2006-2007,W_Badminton,0,N/A,N/A,0,N/A,N/A,2,26,13,2,26,13
2007-2008,W_Badminton,0,N/A,N/A,0,N/A,N/A,2,22,11,2,22,11
2008-2009,W_Badminton,0,N/A,N/A,0,N/A,N/A,2,19,9.5,2,19,9.5
2009-2010,W_Badminton,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
2010-2011,W_Badminton,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
2011-2012,W_Badminton,0,0,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
2012-2013,W_Badminton,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
2013-2014,W_Badminton,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
2014-2015,W_Badminton,0,0,N/A,0,0,N/A,0,0,N/A,0,0,N/A
2015-2016,W_Badminton,0,0,N/A,0,0,N/A,0,0,N/A,0,0,N/A
2016-2017,W_Badminton,0,0,N/A,0,0,N/A,0,0,N/A,0,0,N/A
2017-2018,W_Badminton,0,0,N/A,0,0,N/A,0,0,N/A,0,0,N/A
2018-2019,W_Badminton,0,0,N/A,0,0,N/A,0,0,N/A,0,0,N/A
2019-2020,W_Badminton,0,0,N/A,0,0,N/A,0,0,N/A,0,0,N/A
2020-2021,W_Badminton,0,0,N/A,0,0,N/A,0,0,N/A,0,0,N/A
2021-2022,W_Badminton,0,0,N/A,0,0,N/A,0,0,N/A,0,0,N/A
2022-2023,W_Badminton,0,0,N/A,0,0,N/A,0,0,N/A,0,0,N/A
1981-1982,W_Basketball,273,"3,659",13.4,176,"2,500",14.2,256,"3,465",13.5,705,"9,624",13.7
1982-1983,W_Basketball,268,"3,760",14,195,"2,630",13.5,284,"3,852",13.6,747,"10,242",13.7
1983-1984,W_Basketball,267,"3,682",13.8,188,"2,730",14.5,291,"4,254",14.6,746,"10,666",14.3
1984-1985,W_Basketball,277,"3,980",14.4,176,"2,622",14.9,298,"4,646",15.6,751,"11,248",15
1985-1986,W_Basketball,275,"3,828",13.9,184,"2,767",15,300,"4,803",16,759,"11,398",15
1986-1987,W_Basketball,283,"3,871",13.7,179,"2,501",14,295,"4,154",14.1,757,"10,526",13.9
1987-1988,W_Basketball,281,"3,740",13.3,175,"2,387",13.6,300,"4,020",13.4,756,"10,147",13.4
1988-1989,W_Basketball,281,"3,765",13.4,189,"2,552",13.5,294,"4,028",13.7,764,"10,345",13.5
1989-1990,W_Basketball,279,"3,736",13.4,192,"2,567",13.4,290,"3,822",13.2,761,"10,125",13.3
1990-1991,W_Basketball,284,"3,803",13.4,206,"2,758",13.4,296,"3,990",13.5,786,"10,551",13.4
1991-1992,W_Basketball,288,"3,842",13.3,216,"2,979",13.8,306,"4,058",13.3,810,"10,879",13.4
1992-1993,W_Basketball,289,"3,873",13.4,219,"2,978",13.6,319,"4,307",13.5,827,"11,158",13.5
1993-1994,W_Basketball,292,"4,030",13.8,239,"3,274",13.7,324,"4,406",13.6,855,"11,710",13.7
1994-1995,W_Basketball,293,"4,102",14,242,"3,243",13.4,334,"5,311",15.9,869,"12,656",14.6
1995-1996,W_Basketball,298,"4,232",14.2,273,"3,795",13.9,381,"5,563",14.6,952,"13,589",14.3
1996-1997,W_Basketball,300,"4,290",14.3,274,"3,836",14,382,"5,615",14.7,956,"13,741",
1997-1998,W_Basketball,301,"4,365",14.5,271,"3,821",14.1,384,"5,568",14.5,956,"13,754",14.4
1998-1999,W_Basketball,306,"4,437",14.5,287,"4,075",14.2,408,"5,875",14.4,"1,001","14,388",14.4
1999-2000,W_Basketball,317,"4,565",14.4,284,"3,976",14,410,"5,904",14.4,"1,011","14,445",14.3
2000-2001,W_Basketball,318,"4,706",14.8,288,"4,090",14.2,414,"6,003",14.5,"1,020","14,799",14.5
2001-2002,W_Basketball,321,"4,743",14.8,284,"3,944",13.9,412,"5,837",14.2,"1,017","14,524",14.3
2002-2003,W_Basketball,323,"4,735",14.7,276,"3,859",14,417,"6,080",14.6,"1,016","14,674",14.4
2003-2004,W_Basketball,325,"4,778",14.7,276,"3,851",14,421,"5,967",14.2,"1,022","14,596",14.3
2004-2005,W_Basketball,323,"4,747",14.7,278,"3,874",13.9,424,"6,065",14.3,"1,025","14,686",14.3
2005-2006,W_Basketball,325,"4,867",15,286,"4,040",14.1,428,"6,189",14.5,"1,039","15,096",14.5
2006-2007,W_Basketball,325,"4,744",14.6,294,"4,206",14.3,431,"6,202",14.4,"1,050","15,152",14.4
2007-2008,W_Basketball,328,"4,765",14.5,294,"4,291",14.6,435,"6,251",14.4,"1,057","15,307",14.5
2008-2009,W_Basketball,331,"4,815",14.5,288,"4,200",14.6,435,"6,366",14.6,"1,054","15,381",14.6
2009-2010,W_Basketball,332,"4,766",14.4,290,"4,287",14.8,437,"6,370",14.6,"1,059","15,423",14.6
2010-2011,W_Basketball,335,"4,820",14.4,302,"4,482",14.8,435,"6,406",14.7,"1,072","15,708",14.7
2011-2012,W_Basketball,338,"4,886",14.5,312,"4,724",15.1,434,"6,524",15,"1,084","16,134",14.9
2012-2013,W_Basketball,344,"4,972",14.5,312,"4,726",15.1,434,"6,488",14.9,"1,090","16,186",14.8
2013-2014,W_Basketball,344,"4,900",14.2,316,"4,802",15.2,441,"6,617",15,"1,101","16,319",14.8
2014-2015,W_Basketball,343,"4,984",14.5,321,"4,937",15.4,443,"6,668",15.1,"1,107","16,589",15
2015-2016,W_Basketball,344,"4,993",14.5,321,"4,920",15.3,442,"6,680",15.1,"1,107","16,593",15
2016-2017,W_Basketball,345,"5,000",14.5,319,"4,866",15.3,439,"6,666",15.2,"1,103","16,532",15
2017-2018,W_Basketball,349,"5,059",14.5,315,"4,829",15.3,439,"6,726",15.3,"1,103","16,614",15.1
2018-2019,W_Basketball,349,"5,042",14.4,313,"4,779",15.3,439,"6,688",15.2,"1,101","16,509",15
2019-2020,W_Basketball,349,"5,052",14.5,310,"4,769",15.4,437,"6,632",15.2,"1,096","16,453",15
2020-2021,W_Basketball,348,"5,068",14.6,306,"4,662",15.2,431,"6,360",14.8,"1,085","16,090",14.8
2021-2022,W_Basketball,348,"5,271",15.1,306,"4,912",16.1,435,"6,849",15.7,"1,089","17,032",15.6
2022-2023,W_Basketball,350,5065,14.5,308,4835,15.7,429,6768,15.8,"1,087","16,668",15.3
2011-2012,W_Beach Volleyball,14,204,14.6,0,N/A,N/A,0,N/A,N/A,14,204,14.6
2012-2013,W_Beach Volleyball,28,405,14.5,1,11,11,0,N/A,N/A,29,416,14.3
2013-2014,W_Beach Volleyball,38,594,15.6,1,17,17,0,N/A,N/A,39,611,15.7
2014-2015,W_Beach Volleyball,42,691,16.5,4,56,14,0,0,N/A,46,747,16.2
2015-2016,W_Beach Volleyball,47,758,16.1,7,121,17.3,2,30,15,56,909,16.2
2016-2017,W_Beach Volleyball,52,878,16.9,9,150,16.7,3,42,14,64,"1,070",16.7
2017-2018,W_Beach Volleyball,54,935,17.3,11,183,16.6,3,47,15.7,68,"1,165",17.1
2018-2019,W_Beach Volleyball,60,"1,053",17.6,13,212,16.3,3,47,15.7,76,"1,312",17.3
2019-2020,W_Beach Volleyball,62,"1,068",17.2,17,296,17.4,5,73,14.6,84,"1,437",17.1
2020-2021,W_Beach Volleyball,61,"1,097",18,17,322,18.9,4,66,16.5,82,"1,485",18.1
2021-2022,W_Beach Volleyball,62,"1,112",17.9,17,299,17.6,6,88,14.7,85,"1,499",17.6
2022-2023,W_Beach Volleyball,65,1156,17.8,18,334,18.6,8,125,15.6,91,"1,615",17.7
1981-1982,W_Bowling,6,52,8.7,2,16,8,3,20,6.7,11,88,8
1998-1999,W_Bowling,3,9,3,2,11,5.5,0,N/A,N/A,5,20,4
1999-2000,W_Bowling,21,202,9.6,1,8,8,1,5,5,23,215,9.3
2000-2001,W_Bowling,22,189,8.6,3,24,8,0,N/A,N/A,25,213,8.5
2001-2002,W_Bowling,23,174,7.6,15,145,9.7,1,6,6,39,325,8.3
2002-2003,W_Bowling,26,229,8.8,15,121,8.1,2,19,9.5,43,369,8.6
2003-2004,W_Bowling,26,218,8.4,14,117,8.4,2,23,11.5,42,358,8.5
2004-2005,W_Bowling,28,232,8.3,15,135,9,2,26,13,45,393,8.7
2005-2006,W_Bowling,24,209,8.7,15,124,8.3,5,50,10,44,383,8.7
2006-2007,W_Bowling,28,249,8.9,16,144,9,5,46,9.2,49,439,9
2007-2008,W_Bowling,28,245,8.8,17,146,8.6,7,71,10.1,52,462,8.9
2008-2009,W_Bowling,29,255,8.8,18,162,9,8,68,8.5,55,485,8.8
2009-2010,W_Bowling,30,266,8.9,18,166,9.2,9,75,8.3,57,507,8.9
2010-2011,W_Bowling,33,292,8.8,21,203,9.7,8,70,8.8,62,565,9.1
2011-2012,W_Bowling,36,313,8.7,18,167,9.3,9,81,9,63,561,8.9
2012-2013,W_Bowling,34,287,8.4,19,213,11.2,7,70,10,60,570,9.5
2013-2014,W_Bowling,33,276,8.4,18,192,10.7,10,107,10.7,61,575,9.4
2014-2015,W_Bowling,34,299,8.8,20,192,9.6,10,93,9.3,64,584,9.1
2015-2016,W_Bowling,32,283,8.8,25,223,8.9,11,93,8.5,68,599,8.8
2016-2017,W_Bowling,34,306,9,30,272,9.1,12,101,8.4,76,679,8.9
2017-2018,W_Bowling,34,308,9.1,30,302,10.1,16,129,8.1,80,739,9.2
2018-2019,W_Bowling,34,325,9.6,32,302,9.4,17,156,9.2,83,783,9.4
2019-2020,W_Bowling,34,323,9.5,34,317,9.3,19,180,9.5,87,820,9.4
2020-2021,W_Bowling,35,316,9,34,287,8.4,23,194,8.4,92,797,8.7
2021-2022,W_Bowling,34,331,9.7,34,319,9.4,23,223,9.7,91,873,9.6
2022-2023,W_Bowling,36,322,8.9,38,368,9.7,25,199,8,99,889,9
1981-1982,W_Crew,28,862,30.8,5,86,17.2,10,239,23.9,43,"1,187",27.6
1982-1983,W_Crew,25,831,33.2,6,155,25.8,14,440,31.4,45,"1,426",31.7
1983-1984,W_Crew,27,"1,088",40.3,6,133,22.2,15,562,37.5,48,"1,783",37.1
1984-1985,W_Crew,28,"1,152",41.1,6,144,24,17,646,38,51,"1,942",38.1
1985-1986,W_Crew,27,"1,945",72,7,177,25.3,14,450,32.1,48,"2,572",53.6
1986-1987,W_Crew,21,808,38.5,5,110,22,12,297,24.8,38,"1,215",32
1989-1990,W_Crew,21,672,32,5,88,17.6,13,246,18.9,39,"1,006",25.8
1990-1991,W_Crew,7,204,29.1,2,24,12,3,77,25.7,12,305,25.4
1991-1992,W_Crew,35,"1,020",29.1,6,116,19.3,15,411,27.4,56,"1,547",27.6
1992-1993,W_Crew,30,"1,032",34.4,6,112,18.7,15,411,27.4,51,"1,555",30.5
1993-1994,W_Crew,40,"1,468",36.7,7,150,21.4,20,578,28.9,67,"2,196",32.8
1994-1995,W_Crew,44,"1,804",41,8,151,18.9,22,634,28.8,74,"2,589",35
1981-1982,W_Cross Country,183,"2,208",12.1,92,997,10.8,142,"1,407",9.9,417,"4,612",11.1
1982-1983,W_Cross Country,188,"2,567",13.7,110,"1,048",9.5,166,"1,779",10.7,464,"5,394",11.6
1983-1984,W_Cross Country,203,"2,566",12.6,120,"1,363",11.4,177,"2,028",11.5,500,"5,957",11.9
1984-1985,W_Cross Country,223,"2,839",12.7,124,"1,394",11.2,194,"2,340",12.1,541,"6,573",12.1
1985-1986,W_Cross Country,252,"2,984",11.8,137,"1,539",11.2,222,"2,577",11.6,611,"7,100",11.6
1986-1987,W_Cross Country,269,"3,182",11.8,135,"1,470",10.9,229,"2,512",11,633,"7,164",11.3
1987-1988,W_Cross Country,274,"3,159",11.5,128,"1,371",10.7,236,"2,572",10.9,638,"7,102",11.1
1988-1989,W_Cross Country,276,"3,284",11.9,135,"1,431",10.6,227,"2,656",11.7,638,"7,371",11.6
1989-1990,W_Cross Country,277,"3,246",11.7,145,"1,424",9.8,226,"2,463",10.9,648,"7,133",11
1990-1991,W_Cross Country,280,"3,259",11.6,154,"1,579",10.3,232,"2,640",11.4,666,"7,478",11.2
1991-1992,W_Cross Country,286,"3,438",12,158,"1,616",10.2,233,"2,740",11.8,677,"7,794",11.5
1992-1993,W_Cross Country,288,"3,571",12.4,168,"1,680",10,244,"2,855",11.7,700,"8,106",11.6
1993-1994,W_Cross Country,293,"3,868",13.2,183,"1,830",10,251,"2,912",11.6,727,"8,610",11.8
1994-1995,W_Cross Country,295,"3,983",13.5,191,"1,910",10,261,"3,106",11.9,747,"8,999",12
1995-1996,W_Cross Country,301,"4,304",14.3,227,"2,225",9.8,314,"3,988",12.7,842,"10,517",12.5
1996-1997,W_Cross Country,302,"4,168",13.8,227,"2,225",9.8,305,"3,721",12.2,834,"10,114",
1997-1998,W_Cross Country,304,"4,347",14.3,229,"2,313",10.1,310,"3,813",12.3,843,"10,473",12.4
1998-1999,W_Cross Country,309,"4,759",15.4,251,"2,761",11,331,"4,535",13.7,891,"12,054",13.5
1999-2000,W_Cross Country,316,"4,803",15.2,239,"2,605",10.9,327,"4,316",13.2,882,"11,725",13.3
2000-2001,W_Cross Country,318,"4,865",15.3,255,"2,780",10.9,350,"4,690",13.4,923,"12,335",13.4
2001-2002,W_Cross Country,320,"4,989",15.6,248,"2,535",10.2,360,"4,484",12.5,928,"12,008",12.9
2002-2003,W_Cross Country,322,"5,166",16,245,"2,587",10.6,363,"4,583",12.6,930,"12,336",13.3
2003-2004,W_Cross Country,322,"5,215",16.2,251,"2,730",10.9,369,"4,733",12.8,942,"12,678",13.5
2004-2005,W_Cross Country,321,"5,344",16.6,252,"2,780",11,367,"4,777",13,940,"12,901",13.7
2005-2006,W_Cross Country,322,"5,258",16.3,265,"3,002",11.3,371,"4,968",13.4,958,"13,228",13.8
2006-2007,W_Cross Country,321,"5,203",16.2,275,"3,111",11.3,371,"4,989",13.4,967,"13,303",13.8
2007-2008,W_Cross Country,325,"5,311",16.3,275,"3,054",11.1,388,"5,126",13.2,988,"13,491",13.7
2008-2009,W_Cross Country,327,"5,534",16.9,269,"3,117",11.6,400,"5,450",13.6,996,"14,101",14.2
2009-2010,W_Cross Country,331,"5,752",17.4,266,"3,197",12,408,"5,602",13.7,"1,005","14,551",14.5
2010-2011,W_Cross Country,333,"6,079",18.3,283,"3,430",12.1,410,"5,810",14.2,"1,026","15,319",14.9
2011-2012,W_Cross Country,336,"6,006",17.9,291,"3,567",12.3,408,"5,910",14.5,"1,035","15,483",15
2012-2013,W_Cross Country,342,"6,016",17.6,295,"3,646",12.4,412,"6,090",14.8,"1,049","15,752",15
2013-2014,W_Cross Country,342,"6,039",17.7,299,"3,716",12.4,420,"6,167",14.7,"1,061","15,922",15
2014-2015,W_Cross Country,342,"6,031",17.6,305,"3,851",12.6,425,"6,268",14.7,"1,072","16,150",15.1
2015-2016,W_Cross Country,343,"5,947",17.3,307,"3,897",12.7,421,"6,114",14.5,"1,071","15,958",14.9
2016-2017,W_Cross Country,344,"5,985",17.4,307,"3,959",12.9,420,"6,022",14.3,"1,071","15,966",14.9
2017-2018,W_Cross Country,348,"5,945",17.1,302,"3,766",12.5,421,"5,921",14.1,"1,071","15,632",14.6
2018-2019,W_Cross Country,348,"5,978",17.2,300,"3,829",12.8,424,"5,817",13.7,"1,072","15,624",14.6
2019-2020,W_Cross Country,348,"5,850",16.8,301,"3,814",12.7,422,"5,658",13.4,"1,071","15,322",14.3
2020-2021,W_Cross Country,347,"5,701",16.4,292,"3,572",12.2,406,"4,849",11.9,"1,045","14,122",13.5
2021-2022,W_Cross Country,347,"5,896",17,297,"3,795",12.8,417,"5,332",12.8,"1,061","15,023",14.2
2022-2023,W_Cross Country,349,5789,16.6,299,3756,12.6,408,5076,12.4,"1,056","14,621",13.8
1998-1999,W_Equestrian,9,230,25.5,6,75,12.5,26,328,12.6,41,633,15.4
1999-2000,W_Equestrian,8,356,44.5,2,83,41.5,20,374,18.7,30,813,27.1
2000-2001,W_Equestrian,9,424,47.1,7,180,25.7,31,583,18.8,47,"1,187",25.2
2001-2002,W_Equestrian,10,438,43.8,8,154,19.3,28,439,15.7,46,"1,031",22.4
2002-2003,W_Equestrian,12,580,48.3,6,131,21.8,26,464,17.8,44,"1,175",26.7
2003-2004,W_Equestrian,13,574,44.2,5,120,24,23,426,18.5,41,"1,120",27.3
2004-2005,W_Equestrian,13,588,45.2,4,119,29.8,22,396,18,39,"1,103",28.3
2005-2006,W_Equestrian,15,663,44.2,6,148,24.7,24,475,19.8,45,"1,286",28.6
2006-2007,W_Equestrian,18,718,39.9,6,156,26,24,474,19.8,48,"1,348",28.1
2007-2008,W_Equestrian,18,684,38,6,184,30.7,21,520,24.8,45,"1,388",30.8
2008-2009,W_Equestrian,18,707,39.3,5,119,23.8,23,625,27.2,46,"1,451",31.5
2009-2010,W_Equestrian,18,739,41.1,5,124,24.8,24,645,26.9,47,"1,508",32.1
2010-2011,W_Equestrian,18,729,40.5,5,141,28.2,23,620,27,46,"1,490",32.4
2011-2012,W_Equestrian,19,762,40.1,5,123,24.6,25,724,29,49,"1,609",32.8
2012-2013,W_Equestrian,19,719,37.8,4,109,27.3,27,715,26.5,50,"1,543",30.9
2013-2014,W_Equestrian,19,745,39.2,4,107,26.8,26,686,26.4,49,"1,538",31.4
2014-2015,W_Equestrian,20,775,38.8,4,103,25.8,23,618,26.9,47,"1,496",31.8
2015-2016,W_Equestrian,19,701,36.9,4,102,25.5,21,554,26.4,44,"1,357",30.8
2016-2017,W_Equestrian,18,683,37.9,5,120,24,21,530,25.2,44,"1,333",30.3
2017-2018,W_Equestrian,18,682,37.9,5,128,25.6,22,571,26,45,"1,381",30.7
2018-2019,W_Equestrian,20,706,35.3,4,97,24.3,26,592,22.8,50,"1,395",27.9
2019-2020,W_Equestrian,19,767,40.4,4,108,27,25,601,24,48,"1,476",30.8
2020-2021,W_Equestrian,19,745,39.2,3,62,20.7,24,496,20.7,46,"1,303",28.3
2021-2022,W_Equestrian,19,758,39.9,3,61,20.3,26,587,22.6,48,"1,406",29.3
2022-2023,W_Equestrian,19,745,39.2,3,62,20.7,26,636,24.5,48,"1,443",30.1
2019-2020,W_Esport,,,,1,1,1,3,14,4.7,4,15,3.8
2020-2021,W_Esport,0,0,N/A,1,53,53,5,18,3.6,6,71,11.8
2021-2022,W_Esport,1,1,1,1,1,1,11,59,5.4,13,61,4.7
2022-2023,W_Esport,0,0,N/A,3,11,3.7,12,59,4.9,15,70,4.7
1981-1982,W_Fencing,39,353,9.1,10,103,10.3,27,309,11.4,76,765,10.1
1982-1983,W_Fencing,31,383,12.4,10,57,5.7,27,234,8.7,68,674,9.9
1983-1984,W_Fencing,32,339,10.6,9,85,9.4,24,272,11.3,65,696,10.7
1984-1985,W_Fencing,31,341,11,7,64,9.1,24,281,11.7,62,686,11.1
1985-1986,W_Fencing,29,312,10.8,7,80,11.4,22,248,11.3,58,640,11
1986-1987,W_Fencing,27,282,10.4,7,94,13.4,21,208,9.9,55,584,10.6
1987-1988,W_Fencing,26,264,10.2,5,68,13.6,21,191,9.1,52,523,10.1
1988-1989,W_Fencing,26,299,11.5,3,40,13.3,19,165,8.7,48,504,10.5
1989-1990,W_Fencing,26,300,11.5,3,40,13.3,20,164,8.2,49,504,10.3
1990-1991,W_Fencing,25,227,9.1,3,18,6,20,206,10.3,48,451,9.4
1991-1992,W_Fencing,28,273,9.8,0,N/A,N/A,19,150,7.9,47,423,9
1992-1993,W_Fencing,25,210,8.4,0,N/A,N/A,17,167,9.8,42,377,9
1993-1994,W_Fencing,24,252,10.5,2,16,8,17,143,8.4,43,411,9.6
1994-1995,W_Fencing,24,295,12.3,0,N/A,N/A,17,172,10.1,41,467,11.4
2022-2023,W_Fencing,27,487,18,2,25,12.5,15,251,16.7,44,763,17.3
1995-1996,W_Fencing*,27,297,11,3,21,7,21,290,13.8,51,608,11.9
1996-1997,W_Fencing*,25,348,13.9,1,8,8,17,243,14.3,43,599,
1997-1998,W_Fencing*,25,325,13,1,7,6.5,18,209,11.6,44,540,12.3
1998-1999,W_Fencing*,25,338,13.5,1,5,5,19,253,13.3,45,595,13.2
1999-2000,W_Fencing*,26,406,15.6,2,18,9,17,255,15,45,679,15.1
2000-2001,W_Fencing*,26,408,15.7,3,39,13,17,236,13.9,46,684,14.9
2001-2002,W_Fencing*,26,352,13.5,3,29,9.7,17,252,14.8,46,633,13.8
2002-2003,W_Fencing*,26,397,15.3,3,24,8,16,241,15.1,45,662,14.7
2003-2004,W_Fencing*,26,415,16,3,33,11,15,205,13.7,44,653,14.8
2004-2005,W_Fencing*,27,428,15.9,4,52,13,14,216,15.4,45,696,15.5
2005-2006,W_Fencing*,26,402,15.5,4,48,12,14,208,14.9,44,658,15
2006-2007,W_Fencing*,26,403,15.5,4,51,12.8,15,240,16,45,694,15.4
2007-2008,W_Fencing*,24,373,15.5,4,46,11.5,15,236,15.7,43,655,15.2
2008-2009,W_Fencing*,22,369,16.8,4,55,13.8,15,249,16.6,41,673,16.4
2009-2010,W_Fencing*,23,399,17.3,3,51,17,15,238,15.9,41,688,16.8
2010-2011,W_Fencing*,23,373,16.2,3,43,14.3,15,239,15.9,41,655,16
2011-2012,W_Fencing*,24,398,16.6,3,35,11.7,15,228,15.2,42,661,15.7
2012-2013,W_Fencing*,24,387,16.1,3,36,12,15,234,15.6,42,657,15.6
2013-2014,W_Fencing*,24,402,16.8,3,34,11.3,15,237,15.8,42,673,16
2014-2015,W_Fencing*,24,397,16.5,4,48,12,15,231,15.4,43,676,15.7
2015-2016,W_Fencing*,25,403,16.1,4,54,13.5,15,264,17.6,44,721,16.4
2016-2017,W_Fencing*,26,420,16.2,4,51,12.8,15,237,15.8,45,708,15.7
2017-2018,W_Fencing*,26,422,16.2,4,55,13.8,15,229,15.3,45,706,15.7
2018-2019,W_Fencing*,26,437,16.8,2,30,15,15,236,15.7,43,703,16.3
2019-2020,W_Fencing*,27,433,16,2,30,15,15,234,15.6,44,697,15.8
2020-2021,W_Fencing*,27,414,15.3,2,29,14.5,15,225,15,44,668,15.2
2021-2022,W_Fencing*,27,488,18.1,2,23,11.5,15,241,16.1,44,752,17.1
1981-1982,W_Field Hockey,95,"2,078",21.9,42,804,19.1,131,"2,819",21.5,268,"5,701",21.3
1982-1983,W_Field Hockey,92,"1,959",21.3,36,808,22.4,134,"2,877",21.5,262,"5,644",21.5
1983-1984,W_Field Hockey,86,"2,033",23.6,31,771,24.9,140,"3,205",22.9,257,"6,009",23.4
