Year,Sport,D1Teams,D1Athletes,D1AvgSquad,D2Teams,D2Athletes,D2AvgSquad,D3Teams,D3Athletes,D3AvgSquad,TotalNCAATeams,TotalNCAAAthletes,AvgNCAASquad
1998-1999,"M_Track, Indoor",245,"8,771",35.8,99,"2,980",30.1,182,"5,205",28.6,526,"16,956",32.2
1999-2000,"M_Track, Indoor",242,"8,785",36.3,92,"2,650",28.8,184,"5,594",30.4,518,"17,028",32.9
2000-2001,"M_Track, Indoor",252,"8,946",35.5,107,"3,146",29.4,194,"5,878",30.3,553,"17,970",32.5
2001-2002,"M_Track, Indoor",255,"8,945",35.1,103,"2,813",27.3,195,"5,725",29.4,553,"17,483",31.6
2002-2003,"M_Track, Indoor",252,"8,983",35.6,102,"2,826",27.7,203,"6,027",29.7,557,"17,836",32
2003-2004,"M_Track, Indoor",246,"8,823",35.9,108,"3,188",29.5,209,"6,146",29.4,563,"18,157",32.3
2004-2005,"M_Track, Indoor",242,"8,903",36.8,107,"3,302",30.9,216,"6,661",30.8,565,"18,866",33.4
2005-2006,"M_Track, Indoor",242,"8,908",36.8,108,"3,382",31.3,217,"6,845",31.5,567,"19,135",33.7
2006-2007,"M_Track, Indoor",240,"8,961",37.3,117,"3,752",32.1,218,"7,066",32.4,575,"19,779",34.4
2007-2008,"M_Track, Indoor",240,"9,231",38.5,114,"3,772",33.1,221,"7,343",33.2,575,"20,346",35.4
2008-2009,"M_Track, Indoor",249,"9,565",38.4,114,"3,833",33.6,230,"7,860",34.2,593,"21,258",35.8
2009-2010,"M_Track, Indoor",252,"9,758",38.7,117,"4,021",34.4,232,"8,285",35.7,601,"22,064",36.7
2010-2011,"M_Track, Indoor",251,"9,792",39,134,"4,628",34.5,231,"8,330",36.1,616,"22,750",36.9
2011-2012,"M_Track, Indoor",255,"9,755",38.3,136,"4,807",35.3,243,"8,621",35.5,634,"23,183",36.6
2012-2013,"M_Track, Indoor",259,"10,089",39,142,"4,916",34.6,250,"8,997",36,651,"24,002",36.9
2013-2014,"M_Track, Indoor",260,"10,270",39.5,151,"5,349",35.4,259,"9,166",35.4,670,"24,785",37
2014-2015,"M_Track, Indoor",257,"10,174",39.6,161,"5,709",35.5,263,"9,204",35,681,"25,087",36.8
2015-2016,"M_Track, Indoor",257,"10,094",39.3,166,"5,826",35.1,267,"9,300",34.8,690,"25,220",36.6
2016-2017,"M_Track, Indoor",260,"10,168",39.1,173,"6,174",35.7,276,"9,549",34.6,709,"25,891",36.5
2017-2018,"M_Track, Indoor",265,"10,158",38.3,174,"6,203",35.6,285,"9,650",33.9,724,"26,011",35.9
2018-2019,"M_Track, Indoor",269,"10,286",38.2,173,"6,289",36.4,292,"9,598",32.9,734,"26,173",35.7
2019-2020,"M_Track, Indoor",270,"10,416",38.6,177,"6,429",36.3,295,"9,808",33.2,742,"26,653",35.9
2020-2021,"M_Track, Indoor",265,"10,195",38.5,172,"6,181",35.9,287,"8,826",30.8,724,"25,202",34.8
2021-2022,"M_Track, Indoor",264,"10,369",39.3,182,"6,753",37.1,302,"10,216",33.8,748,"27,338",36.5
2022-2023,"M_Track, Indoor",269,10516,39.1,194,7212,37.2,309,10809,35,772,"28,537",37
1981-1982,"M_Track, Outdoor",230,"8,394",36.5,140,"4,005",28.6,207,"6,407",31,577,"18,806",32.6
1982-1983,"M_Track, Outdoor",231,"8,759",37.9,143,"3,716",26,213,"6,090",28.6,587,"18,565",31.6
1983-1984,"M_Track, Outdoor",234,"8,731",37.3,135,"4,031",29.9,210,"6,659",31.7,579,"19,421",33.5
1984-1985,"M_Track, Outdoor",236,"9,125",38.7,131,"4,113",31.4,214,"6,951",32.5,581,"20,189",34.7
1985-1986,"M_Track, Outdoor",235,"9,125",38.8,125,"4,009",32.1,212,"6,597",31.1,572,"19,731",34.5
1986-1987,"M_Track, Outdoor",236,"8,685",36.8,120,"3,737",31.1,213,"6,633",31.1,569,"19,055",33.5
1987-1988,"M_Track, Outdoor",235,"8,385",35.7,118,"3,523",29.9,211,"6,218",29.5,564,"18,126",32.1
1988-1989,"M_Track, Outdoor",234,"8,752",37.4,121,"3,485",28.8,202,"6,060",30,557,"18,297",32.8
1989-1990,"M_Track, Outdoor",235,"8,570",36.5,120,"3,421",28.5,199,"5,859",29.4,554,"17,850",32.2
1990-1991,"M_Track, Outdoor",241,"8,881",36.9,121,"3,395",28.1,204,"5,824",28.5,566,"18,100",32
1991-1992,"M_Track, Outdoor",249,"8,812",35.4,122,"3,527",28.9,209,"5,875",28.1,580,"18,214",31.4
1992-1993,"M_Track, Outdoor",248,"8,928",36,124,"3,497",28.2,210,"5,754",27.4,582,"18,179",31.2
1993-1994,"M_Track, Outdoor",249,"9,113",36.6,129,"3,406",26.4,210,"5,775",27.5,588,"18,294",31.1
1994-1995,"M_Track, Outdoor",250,"8,950",35.8,128,"3,264",25.5,210,"5,586",26.6,588,"17,800",30.3
1995-1996,"M_Track, Outdoor",261,"9,892",37.9,153,"4,406",28.8,237,"7,655",32.3,651,"21,953",33.7
1996-1997,"M_Track, Outdoor",255,"9,155",35.9,139,"3,545",25.5,228,"6,521",28.6,622,"19,220",30.9
1997-1998,"M_Track, Outdoor",260,"9,360",36,136,"3,468",25.5,229,"6,527",28.5,625,"19,355",31
1998-1999,"M_Track, Outdoor",261,"9,370",35.9,144,"4,075",28.3,232,"6,960",30,637,"20,405",32
1999-2000,"M_Track, Outdoor",264,"9,530",36.1,139,"3,795",27.3,232,"6,798",29.3,635,"20,123",31.7
2000-2001,"M_Track, Outdoor",270,"9,693",35.9,150,"4,065",27.1,239,"7,170",30,659,"20,928",31.8
2001-2002,"M_Track, Outdoor",269,"9,534",35.4,150,"3,984",26.6,238,"6,864",28.8,657,"20,382",31
2002-2003,"M_Track, Outdoor",270,"9,717",36,149,"4,013",26.9,243,"7,091",29.2,662,"20,821",31.5
2003-2004,"M_Track, Outdoor",264,"9,672",36.6,151,"4,306",28.5,242,"6,891",28.5,657,"20,869",31.8
2004-2005,"M_Track, Outdoor",261,"9,816",37.6,148,"4,497",30.4,247,"7,373",29.9,656,"21,686",33.1
2005-2006,"M_Track, Outdoor",265,"9,813",37,155,"4,628",29.7,250,"7,634",30.5,670,"22,075",32.9
2006-2007,"M_Track, Outdoor",261,"9,959",38.2,165,"4,996",30.3,252,"7,943",31.5,678,"22,898",33.8
2007-2008,"M_Track, Outdoor",265,"10,266",38.7,165,"5,052",30.6,257,"8,161",31.8,687,"23,479",34.2
2008-2009,"M_Track, Outdoor",269,"10,564",39.3,162,"5,052",31.2,270,"8,802",32.6,701,"24,418",34.8
2009-2010,"M_Track, Outdoor",270,"10,812",40,165,"5,350",32.4,271,"9,187",33.9,706,"25,349",35.9
2010-2011,"M_Track, Outdoor",273,"10,944",40.1,176,"5,853",33.3,273,"9,321",34.1,722,"26,118",36.2
2011-2012,"M_Track, Outdoor",277,"10,855",39.2,184,"6,213",33.8,274,"9,348",34.1,735,"26,416",35.9
2012-2013,"M_Track, Outdoor",282,"11,032",39.1,181,"6,157",34,279,"9,832",35.2,742,"27,021",36.4
2013-2014,"M_Track, Outdoor",281,"11,240",40,186,"6,407",34.4,287,"9,867",34.4,754,"27,514",36.5
2014-2015,"M_Track, Outdoor",278,"11,067",39.8,208,"7,173",34.5,294,"9,937",33.8,780,"28,177",36.1
2015-2016,"M_Track, Outdoor",279,"11,068",39.7,210,"7,189",34.2,306,"10,077",32.9,795,"28,334",35.6
2016-2017,"M_Track, Outdoor",281,"11,033",39.3,215,"7,410",34.5,311,"10,152",32.6,807,"28,595",35.4
2017-2018,"M_Track, Outdoor",286,"11,115",38.9,218,"7,390",33.9,314,"10,193",32.5,818,"28,698",35.1
2018-2019,"M_Track, Outdoor",289,"11,228",38.9,223,"7,555",33.9,322,"10,131",31.5,834,"28,914",34.7
2019-2020,"M_Track, Outdoor",289,"11,355",39.3,224,"7,801",34.8,326,"10,592",32.5,839,"29,748",35.5
2020-2021,"M_Track, Outdoor",288,"11,508",40,224,"7,742",34.6,329,"9,917",30.1,841,"29,167",34.7
2021-2022,"M_Track, Outdoor",287,"11,387",39.7,227,"8,052",35.5,331,"10,783",32.6,845,"30,222",35.8
2022-2023,"M_Track, Outdoor",292,11399,39,236,8512,36.1,336,11367,33.8,864,"31,278",36.2
1981-1982,M_Volleyball,33,455,13.8,15,234,15.6,15,189,12.6,63,878,13.9
1982-1983,M_Volleyball,28,401,14.3,10,146,14.6,17,219,12.9,55,766,13.9
1983-1984,M_Volleyball,31,414,13.4,12,162,13.5,15,204,13.6,58,780,13.4
1984-1985,M_Volleyball,31,490,15.8,14,178,12.7,17,245,14.4,62,913,14.7
1985-1986,M_Volleyball,30,467,15.6,12,152,12.7,16,307,19.2,58,926,16
1986-1987,M_Volleyball,20,318,15.9,11,131,11.9,19,226,11.9,50,675,13.5
1987-1988,M_Volleyball,20,318,15.9,12,166,13.8,18,260,14.4,50,744,14.9
1988-1989,M_Volleyball,21,374,17.8,11,142,12.9,19,257,13.5,51,773,15.2
1989-1990,M_Volleyball,21,355,16.9,11,129,11.7,22,220,10,54,704,13
1990-1991,M_Volleyball,24,450,18.8,10,120,12,24,372,15.5,58,942,16.2
1991-1992,M_Volleyball,24,458,19.1,10,140,14,24,327,13.6,58,925,15.9
1992-1993,M_Volleyball,24,422,17.6,10,126,12.6,25,315,12.6,59,863,14.6
1993-1994,M_Volleyball,23,421,18.3,11,144,13.1,27,373,13.8,61,938,15.4
1994-1995,M_Volleyball,22,394,17.9,10,125,12.5,28,347,12.4,60,866,14.4
1995-1996,M_Volleyball,24,408,17,16,182,11.4,34,445,13.1,74,"1,036",14
1996-1997,M_Volleyball,23,426,18.5,15,206,13.7,33,432,13.1,71,"1,063",15
1997-1998,M_Volleyball,22,416,18.9,14,178,12.7,32,371,11.6,68,965,14.2
1998-1999,M_Volleyball,22,398,18.1,18,216,12,39,511,13.1,79,"1,125",14.2
1999-2000,M_Volleyball,22,374,17,17,230,13.5,36,439,12.2,75,"1,043",13.9
2000-2001,M_Volleyball,22,392,17.8,19,262,13.8,42,529,12.6,83,"1,183",14.3
2001-2002,M_Volleyball,22,380,17.3,17,227,13.4,42,508,12.1,81,"1,115",13.8
2002-2003,M_Volleyball,23,409,17.8,16,230,14.4,45,526,11.7,84,"1,165",13.9
2003-2004,M_Volleyball,23,432,18.8,15,226,15.1,43,537,12.5,81,"1,195",14.8
2004-2005,M_Volleyball,22,405,18.4,16,231,14.4,41,525,12.8,79,"1,161",14.7
2005-2006,M_Volleyball,22,402,18.3,15,241,16.1,45,567,12.6,82,"1,210",14.8
2006-2007,M_Volleyball,21,404,19.2,15,239,15.9,44,579,13.2,80,"1,222",15.3
2007-2008,M_Volleyball,22,456,20.7,13,238,18.3,47,604,12.9,82,"1,298",15.8
2008-2009,M_Volleyball,22,441,20,12,204,17,49,674,13.8,83,"1,319",15.9
2009-2010,M_Volleyball,23,471,20.5,14,235,16.8,53,661,12.5,90,"1,367",15.2
2010-2011,M_Volleyball,23,467,20.3,16,270,16.9,56,719,12.8,95,"1,456",15.3
2011-2012,M_Volleyball,23,456,19.8,16,295,18.4,59,778,13.2,98,"1,529",15.6
2012-2013,M_Volleyball,23,449,19.5,19,340,17.9,63,857,13.6,105,"1,646",15.7
2013-2014,M_Volleyball,23,450,19.6,21,367,17.5,65,903,13.9,109,"1,720",15.8
2014-2015,M_Volleyball,21,405,19.3,24,446,18.6,68,967,14.2,113,"1,818",16.1
2015-2016,M_Volleyball,21,394,18.8,25,467,18.7,76,"1,038",13.7,122,"1,899",15.6
2016-2017,M_Volleyball,21,420,20,25,428,17.1,82,"1,159",14.1,128,"2,007",15.7
2017-2018,M_Volleyball,22,433,19.7,22,367,16.7,91,"1,363",15,135,"2,163",16
2018-2019,M_Volleyball,22,455,20.7,24,420,17.5,102,"1,480",14.5,148,"2,355",15.9
2019-2020,M_Volleyball,23,446,19.4,25,440,17.6,108,"1,559",14.4,156,"2,445",15.7
2020-2021,M_Volleyball,23,465,20.2,24,424,17.7,111,"1,523",13.7,158,"2,412",15.3
2021-2022,M_Volleyball,25,526,21,32,546,17.1,113,"1,663",14.7,170,"2,735",16.1
2022-2023,M_Volleyball,25,528,21.1,34,617,18.1,114,1788,15.7,173,"2,933",17
1981-1982,M_Water Polo,28,637,22.8,8,150,18.8,13,215,16.5,49,"1,002",20.4
1982-1983,M_Water Polo,32,832,26,5,142,28.4,14,207,14.8,51,"1,181",23.2
1983-1984,M_Water Polo,33,735,22.3,5,87,17.4,14,279,19.9,52,"1,101",21.2
1984-1985,M_Water Polo,33,787,23.8,5,77,15.4,14,250,17.9,52,"1,114",21.4
1985-1986,M_Water Polo,35,805,23,6,100,16.7,12,223,18.6,53,"1,128",21.3
1986-1987,M_Water Polo,35,764,21.8,7,119,17,14,238,17,56,"1,121",20
1987-1988,M_Water Polo,35,797,22.8,7,116,16.6,16,257,16.1,58,"1,170",20.2
1988-1989,M_Water Polo,34,758,22.3,7,118,16.9,17,313,18.4,58,"1,189",20.5
1989-1990,M_Water Polo,33,712,21.6,7,118,16.9,15,276,18.4,55,"1,106",20.1
1990-1991,M_Water Polo,32,759,23.7,7,141,20.1,15,251,16.7,54,"1,151",21.3
1991-1992,M_Water Polo,30,674,22.5,6,110,18.3,12,212,17.7,48,996,20.8
1992-1993,M_Water Polo,30,690,23,6,105,17.5,11,183,16.6,47,978,20.8
1993-1994,M_Water Polo,28,655,23.4,0,N/A,N/A,11,186,16.9,39,841,21.6
1994-1995,M_Water Polo,25,533,21.3,0,N/A,N/A,12,214,17.8,37,747,20.2
1995-1996,M_Water Polo,26,554,21.3,4,59,14.8,14,249,17.8,44,862,19.6
1996-1997,M_Water Polo,25,610,24.4,4,71,17.8,13,211,16.2,42,892,21.2
1997-1998,M_Water Polo,25,628,25.1,5,94,18.8,13,248,19.1,43,970,22.6
1998-1999,M_Water Polo,24,547,22.8,5,100,20,14,260,18.6,43,908,21.1
1999-2000,M_Water Polo,23,511,22.2,5,81,16.2,14,234,16.7,42,825,19.7
2000-2001,M_Water Polo,23,534,23.2,6,107,17.8,17,270,15.9,46,911,19.8
2001-2002,M_Water Polo,23,499,21.7,9,141,15.7,16,251,15.7,48,891,18.6
2002-2003,M_Water Polo,21,460,21.9,9,145,16.1,16,250,15.6,46,855,18.6
2003-2004,M_Water Polo,21,478,22.8,9,137,15.2,16,250,15.6,46,865,18.8
2004-2005,M_Water Polo,21,516,24.6,9,143,15.9,16,280,17.5,46,939,20.4
2005-2006,M_Water Polo,21,511,24.3,9,161,17.9,15,270,18,45,942,20.9
2006-2007,M_Water Polo,21,518,24.7,5,93,18.6,15,282,18.8,41,893,21.8
2007-2008,M_Water Polo,22,575,26.1,5,75,15,15,269,17.9,42,919,21.9
2008-2009,M_Water Polo,22,562,25.5,5,76,15.2,15,276,18.4,42,914,21.8
2009-2010,M_Water Polo,22,586,26.6,5,69,13.8,14,270,19.3,41,925,22.6
2010-2011,M_Water Polo,22,597,27.1,7,126,18,14,295,21.1,43,"1,018",23.7
2011-2012,M_Water Polo,22,572,26,7,154,22,14,289,20.6,43,"1,015",23.6
2012-2013,M_Water Polo,22,581,26.4,7,133,19,14,285,20.4,43,999,23.2
2013-2014,M_Water Polo,22,586,26.6,7,143,20.4,15,322,21.5,44,"1,051",23.9
2014-2015,M_Water Polo,22,566,25.7,7,154,22,15,324,21.6,44,"1,044",23.7
2015-2016,M_Water Polo,23,574,25,7,147,21,15,293,19.5,45,"1,014",22.5
2016-2017,M_Water Polo,25,581,23.2,7,150,21.4,15,282,18.8,47,"1,013",21.6
2017-2018,M_Water Polo,25,611,24.4,8,173,21.6,15,263,17.5,48,"1,047",21.8
2018-2019,M_Water Polo,25,603,24.1,8,178,22.4,16,291,18.2,49,"1,072",21.9
2019-2020,M_Water Polo,25,613,24.5,8,179,22.4,16,308,19.3,49,"1,100",22.4
2020-2021,M_Water Polo,26,614,23.6,8,161,20.1,15,258,17.2,49,"1,033",21.1
2021-2022,M_Water Polo,25,667,26.7,9,186,20.7,16,301,18.8,50,"1,154",23.1
2022-2023,M_Water Polo,26,666,25.6,9,195,21.7,16,295,18.4,51,"1,156",22.7
1981-1982,M_Wrestling,146,"3,659",25.1,68,"1,543",22.7,149,"2,712",18.2,363,"7,914",21.8
1982-1983,M_Wrestling,136,"3,502",25.8,69,"1,801",26.1,146,"2,852",19.5,351,"8,155",23.2
1983-1984,M_Wrestling,136,"4,050",29.8,62,"1,477",23.8,144,"2,890",20.1,342,"8,417",24.6
1984-1985,M_Wrestling,136,"4,190",30.8,52,"1,401",26.9,137,"2,981",21.8,325,"8,572",26.4
1985-1986,M_Wrestling,133,"4,192",31.5,51,"1,396",27.4,133,"2,813",21.2,317,"8,401",26.5
